market_id,question,end_date,prob_market,prob_model,edge,kelly_fraction,direction,spread,liquidity,source
593978,Will Bernie endorse Zach Wahls for IA-Sen Nov 2 2026 ET?,2026-11-30 00:00:00+00:00,0.17,0.5137,0.3437,0.207,BUY YES,0.04,5615.88917,calibration_model
576807,Will FC Koln be relegated from the Bundesliga after the 2025–26 season?,2026-05-28 00:00:00+00:00,0.167,0.5061,0.3391,0.2035,BUY YES,0.032,643.73831,calibration_model
582174,Will Leverkusen finish in the top 4 of the Bundesliga 2025–26 standings?,2026-05-28 00:00:00+00:00,0.145,0.4767,0.3317,0.0,BUY YES,0.05,3054.9379,calibration_model
567690,"Erdoğan out by December 31, 2026?",2026-12-31 00:00:00+00:00,0.165,0.4585,0.2935,0.0,BUY YES,0.01,31499.1218,calibration_model
582136,Will Chelsea finish in the top 4 of the EPL 2025–26 standings?,2026-05-27 00:00:00+00:00,0.215,0.5069,0.2919,0.1859,BUY YES,0.01,16820.9173,calibration_model
609655,US recession by end of 2026?,2027-01-31 00:00:00+00:00,0.315,0.5959,0.2809,0.205,BUY YES,0.01,61890.2723,calibration_model
601920,Will any presidential candidate win outright in the first round of the Brazil election?,2026-10-04 00:00:00+00:00,0.15,0.4243,0.2743,0.0,BUY YES,0.02,13742.2182,calibration_model
572849,Will Nottm Forest be relegated from the English Premier League after the 2025–26 season?,2026-05-27 00:00:00+00:00,0.15,0.403,0.253,0.0,BUY YES,0.04,8694.9209,calibration_model
582134,Will Liverpool finish in the top 4 of the EPL 2025–26 standings?,2026-05-27 00:00:00+00:00,0.305,0.5546,0.2496,0.1796,BUY YES,0.03,15865.1558,calibration_model
572847,Will Tottenham be relegated from the English Premier League after the 2025–26 season?,2026-05-27 00:00:00+00:00,0.3235,0.5659,0.2424,0.1791,BUY YES,0.007,29013.51852,calibration_model
569454,Will any presidential candidate win outright in the first round of the Colombia's election?,2026-05-31 14:00:00+00:00,0.14,0.3785,0.2385,0.0,BUY YES,0.02,6086.5251,calibration_model
597967,"Starmer out by June 30, 2026?",2026-06-30 12:00:00+00:00,0.265,0.4775,0.2125,0.0,BUY YES,0.01,65783.0965,calibration_model
567687,Russia x Ukraine ceasefire by end of 2026?,2026-12-31 00:00:00+00:00,0.295,0.5055,0.2105,0.1493,BUY YES,0.01,489539.5621,calibration_model
601922,Will Luiz Inácio Lula da Silva qualify for Brazil's presidential runoff?,2026-10-04 00:00:00+00:00,0.745,0.5392,-0.2058,0.0,BUY NO,0.01,16054.372,calibration_model
582138,Will Manchester United finish in the top 4 of the EPL 2025–26 standings?,2026-05-27 00:00:00+00:00,0.885,0.6829,-0.2021,0.0,BUY NO,0.01,22369.9211,calibration_model
622738,"Will Hyperliquid perform an airdrop by December 31, 2026? ",,0.355,0.547,0.192,0.1489,BUY YES,0.03,5365.6462,calibration_model
582316,Will Marseille finish in the top 4 of the Ligue 1 2025–26 standings?,2026-05-30 00:00:00+00:00,0.805,0.6408,-0.1642,0.0,BUY NO,0.01,3915.4128,calibration_model
620335,"Aziz Akhannouch out as Morocco Prime Minister by December 31, 2026?",2026-12-31 00:00:00+00:00,0.863,0.7113,-0.1517,0.0,BUY NO,0.042,9597.88151,calibration_model
567688,Netanyahu out by end of 2026?,2026-12-31 00:00:00+00:00,0.395,0.5438,0.1488,0.123,BUY YES,0.01,75526.3848,calibration_model
618454,Opensea FDV above $500M one day after launch?,2027-01-01 05:00:00+00:00,0.396,0.5307,0.1347,0.1115,BUY YES,0.004,31125.79791,calibration_model
540816,Russia-Ukraine Ceasefire before GTA VI?,2026-07-31 12:00:00+00:00,0.535,0.6255,0.0905,0.0973,BUY YES,0.01,39337.5999,calibration_model
540843,Will China invades Taiwan before GTA VI?,2026-07-31 12:00:00+00:00,0.475,0.5464,0.0714,0.068,BUY YES,0.01,55249.8592,calibration_model
540819,Will Jesus Christ return before GTA VI?,2026-07-31 12:00:00+00:00,0.475,0.5416,0.0666,0.0634,BUY YES,0.01,713566.1825,calibration_model
