market_id,token_id_yes,question,end_date,direction,prob_market,prob_model,edge,kelly,confidence,size_usd,price_paid,source_model,prob_external,source_external,opened_at,status,outcome,pnl,resolved_at
2908912,71418072273476734412764820830987932083426002849261550180943645243754032112624,Will Jorge Campillo finish in the Top 20 at the 2026 Corales Puntacana Championship?,2026-07-19 00:00:00+00:00,BUY YES,0.205,0.4939,0.2889,0.1,MEDIUM,176.2,0.205,calibration_rf,,,2026-07-14T21:28:38.331482+00:00,RESOLVED,1,683.31,2026-07-19T21:42:35.312691+00:00
2906909,47986295081036275375221155178061667246286004314210754704585877421328983612340,"Will the price of Ethereum be above $1,900 on July 20?",2026-07-20 16:00:00+00:00,BUY YES,0.205,0.501,0.296,0.1,MEDIUM,75.0,0.205,calibration_rf,,,2026-07-18T23:42:24.028247+00:00,RESOLVED,1,290.85,2026-07-20T21:55:08.995822+00:00
2934926,102797990318779943579861083946720467464897379005299055569580882088869771212809,"Will the next Claude Opus model be released by July 22, 2026?",2026-07-22 23:59:00+00:00,BUY YES,0.27,0.5434,0.2734,0.1,MEDIUM,250.0,0.27,calibration_rf,,,2026-07-19T21:42:41.217306+00:00,RESOLVED,0,-250.0,2026-07-23T07:54:58.441056+00:00
2947133,29552001873099353964391754654409748155324541113890185087517179801487691311344,"Will the price of Bitcoin be above $66,000 on July 23?",2026-07-23 16:00:00+00:00,BUY YES,0.185,0.4758,0.2908,0.1,MEDIUM,75.0,0.185,calibration_rf,,,2026-07-23T07:55:00.235116+00:00,RESOLVED,0,-75.0,2026-07-23T17:53:53.121641+00:00
2960123,92254302413614449307141284041798281301713734790797285942120796634226917476159,"Will the price of Bitcoin be above $68,000 on July 24?",2026-07-24 16:00:00+00:00,BUY YES,0.235,0.5254,0.2904,0.1,MEDIUM,250.0,0.235,calibration_rf,,,2026-07-22T00:15:00.628563+00:00,RESOLVED,0,-250.0,2026-07-24T17:01:00.816514+00:00
1808546,44805157856729475543761918918614273394865032511345958532719893352163987391326,Fed Rate Hike by July 2026 Meeting?,2026-12-09 00:00:00+00:00,BUY YES,0.3365,0.6033,0.2668,0.1,MEDIUM,250.0,0.3365,calibration_rf,,,2026-07-14T04:22:12.525661+00:00,RESOLVED,0,-250.0,2026-07-29T20:08:17.039568+00:00
2967837,3109457852846752249033108874039158826560100606171171798422919230059617165695,US announces halt in Iran offensive operations by July 31?,2026-08-31 23:59:00+00:00,BUY YES,0.28,0.5762,0.2962,0.1,MEDIUM,22.5,0.28,calibration_rf,,,2026-07-23T17:53:53.451107+00:00,RESOLVED,1,57.86,2026-07-30T00:55:50.061744+00:00
2758358,67618687138618616009474379841981387029656591298511163184190255433704137454173,"Will Ethereum reach $2,000 in July?",2026-08-01 04:00:00+00:00,BUY YES,0.305,0.5941,0.2891,0.1,MEDIUM,250.0,0.305,calibration_rf,,,2026-07-12T05:16:37.518022+00:00,RESOLVED,0,-250.0,2026-08-01T05:17:40.820065+00:00
2758343,51648990218544067436174137903077674890968483826939063393064351432982359534477,"Will Bitcoin dip to $57,500 in July?",2026-08-01 04:00:00+00:00,BUY YES,0.225,0.5163,0.2913,0.1,MEDIUM,250.0,0.225,calibration_rf,,,2026-07-12T11:04:23.889549+00:00,RESOLVED,0,-250.0,2026-08-01T05:17:45.409792+00:00
2758357,6430907632998052116814470191717125432093703836620986590946516222943958571588,"Will Ethereum reach $2,100 in July?",2026-08-01 04:00:00+00:00,BUY YES,0.165,0.4413,0.2763,0.1,MEDIUM,250.0,0.165,calibration_rf,,,2026-07-12T20:12:48.397153+00:00,RESOLVED,0,-250.0,2026-08-01T05:17:48.952718+00:00
2758339,70060007759742302808850203923230495967841006347410479320265457231119910877637,"Will Bitcoin reach $67,500 in July?",2026-08-01 04:00:00+00:00,BUY YES,0.285,0.5643,0.2793,0.1,MEDIUM,250.0,0.285,calibration_rf,,,2026-07-13T18:15:42.678507+00:00,RESOLVED,0,-250.0,2026-08-01T05:17:50.319244+00:00
2758398,107428272129048587583997315670529606325369032000682138145211150063313167372818,Will XRP dip to $1.00 in July?,2026-08-01 04:00:00+00:00,BUY YES,0.215,0.4949,0.2799,0.1,MEDIUM,28.6,0.215,calibration_rf,,,2026-07-20T21:55:12.200916+00:00,RESOLVED,0,-28.6,2026-08-01T05:17:58.583746+00:00
2646850,95676548525614691656970153001244738030704823210041753577158504248850005676647,"US x Iran diplomatic meeting by July 31, 2026?",2026-07-31 23:59:00+00:00,BUY YES,0.345,0.573,0.228,0.1,MEDIUM,250.0,0.345,calibration_rf,,,2026-07-12T09:42:46.905195+00:00,RESOLVED,0,-250.0,2026-08-01T07:40:42.790667+00:00
2849355,91110126423816430289398495588626024873419709802525199838107827741036242920463,US reissues Iran oil sanction relief by July 31?,2026-07-31 23:59:00+00:00,BUY YES,0.23,0.4538,0.2238,0.1,MEDIUM,250.0,0.23,calibration_rf,,,2026-07-12T09:42:46.905893+00:00,RESOLVED,0,-250.0,2026-08-01T07:40:43.133616+00:00
2761559,115710556795111580828335948318228157623389626029755516822033654499327017065455,"Will the United States send warships through the Strait of Hormuz by July 31, 2026?",2026-07-31 23:59:00+00:00,BUY YES,0.255,0.5037,0.2487,0.1,MEDIUM,250.0,0.255,calibration_rf,,,2026-07-12T11:04:23.891663+00:00,RESOLVED,0,-250.0,2026-08-01T07:40:43.477293+00:00
2608935,74262568044285840417555465910703355991632422692108408453199177956025235702892,Will Russia capture Kostyantynivka by July 31?,2026-07-31 12:00:00+00:00,BUY YES,0.535,0.7449,0.2099,0.1,MEDIUM,11.28,0.535,calibration_rf,,,2026-07-12T20:12:48.400456+00:00,RESOLVED,0,-11.28,2026-08-01T07:40:46.408891+00:00
2839441,66545356437879357262893294009531113816463607688022529069520973551809007544297,Mitch McConnell votes in the Senate by July 31?,2026-07-31 23:59:00+00:00,BUY YES,0.225,0.493,0.268,0.1,MEDIUM,250.0,0.225,calibration_rf,,,2026-07-13T18:15:42.679672+00:00,RESOLVED,0,-250.0,2026-08-01T07:40:46.917784+00:00
2817982,41878064149386815676353154600518964373139503252597415711259793695317457863142,"Will Ethereum dip to $1,700 in July?",2026-08-01 04:00:00+00:00,BUY YES,0.225,0.5201,0.2951,0.1,MEDIUM,75.0,0.225,calibration_rf,,,2026-07-15T21:27:57.852027+00:00,RESOLVED,0,-75.0,2026-08-01T07:40:48.781307+00:00
2686770,63808062715546895733626511170499399566995906189739805177191005369034802585003,Iran full airspace closure by July 31?,2026-07-31 23:59:00+00:00,BUY YES,0.275,0.5643,0.2893,0.1,MEDIUM,75.0,0.275,calibration_rf,,,2026-07-15T22:28:13.917719+00:00,RESOLVED,0,-75.0,2026-08-01T07:40:49.145411+00:00
2817896,76775375296033651317898012041289573382116059705683933691523480898942221844797,"Will Bitcoin dip to $60,000 in July?",2026-08-01 04:00:00+00:00,BUY YES,0.245,0.5449,0.2999,0.1,MEDIUM,250.0,0.245,calibration_rf,,,2026-07-19T09:27:07.017092+00:00,RESOLVED,0,-250.0,2026-08-01T07:40:51.795391+00:00
2555351,83949391398129766321449386019175318571490128024347049307900487790711865604735,Israel closes its airspace by July 31?,2026-07-31 00:00:00+00:00,BUY YES,0.27,0.5676,0.2976,0.1,MEDIUM,75.0,0.27,calibration_rf,,,2026-07-24T17:01:01.484789+00:00,RESOLVED,0,-75.0,2026-08-01T07:40:54.007964+00:00
2732525,75664220377459757647456485621449233559415637505632291241092085394055106279391,"Will Russia and Ukraine hold any diplomatic meeting by July 31, 2026?",2026-07-31 23:59:00+00:00,BUY YES,0.28,0.5486,0.2686,0.1,MEDIUM,154.52,0.28,calibration_rf,,,2026-07-19T21:42:41.219206+00:00,RESOLVED,0,-154.52,2026-08-01T09:49:32.427383+00:00
2994397,88260722027423030494963507237328688347185972705657026302152513710388217764842,Gangwon FC vs. Bucheon FC 1995: O/U 3.5,2026-08-01 10:30:00+00:00,BUY YES,0.245,0.5278,0.2828,0.1,MEDIUM,46.36,0.245,calibration_rf,,,2026-08-01T09:49:35.383826+00:00,RESOLVED,0,-46.36,2026-08-01T15:34:32.311120+00:00
3126378,16752251644267461444235583231570554371387741656475872991426237234309301489773,"Will Bitcoin dip to $62,000 July 27-August 2?",2026-08-03 04:00:00+00:00,BUY YES,0.295,0.5798,0.2848,0.1,MEDIUM,250.0,0.295,calibration_rf,,,2026-08-01T05:18:00.448029+00:00,RESOLVED,0,-250.0,2026-08-03T04:57:01.572437+00:00
2853082,45541499510645833281919556974413487456385382554586311815133092906434525412563,"Will 40 ships transit the Strait of Hormuz on any day by July 31, 2026?",2026-07-31 23:59:00+00:00,BUY YES,0.235,0.4868,0.2518,0.1,MEDIUM,75.0,0.235,calibration_rf,,,2026-07-14T04:22:12.528573+00:00,RESOLVED,0,-75.0,2026-08-05T15:54:19.581766+00:00
2820499,32651963048240301134331200062693811911451239248333881718202960761154439715764,"Will 30 ships transit the Strait of Hormuz on any day by July 31, 2026?",2026-07-31 23:59:00+00:00,BUY YES,0.2895,0.5743,0.2848,0.1,MEDIUM,75.0,0.2895,calibration_rf,,,2026-07-17T19:38:30.975611+00:00,RESOLVED,0,-75.0,2026-08-07T10:25:36.175601+00:00
